#;FORM;LEMMA;GRAM;COMMENT;CHECKED;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM
#doc=About_everything.2.txt;;;;;;;;;;;;;;
1;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
2;Алёна;АЛЕНА;persn;;;а;н;ё;л;а;;S;АЛЕНА;S f anim nom sg
3;Я;Я;SPRO sg 1p - nom;;;я;;;;;;S;Я;S - - nonflex nonflex
4;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
5;вот;ВОТ;PART;;;т;о;в;;;;PART;ВОТ;PART
6;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
7;сначала;СНАЧАЛА;ADV -;;;а;л;а;ч;а;н;ADV;СНАЧАЛА;ADV -
8;хотела;ХОТЕТЬ;V ipf praet sg indic f -;;;а;л;е;т;о;х;V;ХОТЕТЬ;V ipf praet sg indic f -
9;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
10;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
11;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
12;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
13;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
14;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
15;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
16;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
17;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
18;те;ТЫ;SPRO sg 2p - nom;distort ;;е;т;;;;;A;ТОТ;A - nom pl plen - -
19;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
20;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
21;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;тебе;ТЫ;SPRO sg 2p - dat;;;е;б;е;т;;;SPRO;ТЫ;SPRO sg 2p - loc
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;рассказать;РАССКАЗАТЬ;V pf - - inf - -;;;ь;т;а;з;а;к;V;РАССКАЗАТЬ;V pf - - inf - -
2;про;ПРО;PR;;;о;р;п;;;;PR;ПРО;PR
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
5;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
6;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
7;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
8;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
9;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
10;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
11;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;обжшника;ОБЖШНИК;S m anim gen sg;;;а;к;и;н;ш;ж;S;ОБЖШНИК;S m anim acc sg
2;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
3;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
4;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;учителя;УЧИТЕЛЬ;S m anim gen sg;;;я;л;е;т;и;ч;S;УЧИТЕЛЬ;S m anim gen sg
5;по;ПО;PR;;;о;п;;;;;PR;ПО;PR
6;ОБЖ;ОБЖ;S - inan dat nonflex;;;ж;б;о;;;;S;ОБЖ;S - inan nonflex nonflex
7;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
8;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
9;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2;а;А;PART;;;а;;;;;;PART;А;PART
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
5;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
6;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
7;form;FORM;NONLEX;iuhg;;;;;;;;NONLEX;FORM;NONLEX
8;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
9;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
10;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
11;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
12;щас;СЕЙЧАС;ADV -;distort ;;с;а;щ;;;;ADV;ЩАС;ADV -
13;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
14;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
15;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;сейчас;СЕЙЧАС;ADV -;;;с;а;ч;й;е;с;ADV;СЕЙЧАС;ADV -
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
2;думаю;ДУМАТЬ;V ipf praes sg indic - 1p;;;ю;а;м;у;д;;V;ДУМАТЬ;V ipf praes sg indic - 1p
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
5;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
6;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
7;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
8;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
9;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
10;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
11;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
12;шо;ЧТО;CONJ;distort ;;о;ш;;;;;NONLEX;ШО;NONLEX
13;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
14;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
15;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;что;ЧТО;CONJ;;;о;т;ч;;;;S;ЧТО;S n inan acc sg
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;надо;НАДО;ADV -;;;о;д;а;н;;;ADV;НАДО;ADV -
2;рассказать;РАССКАЗАТЬ;V pf - - inf - -;;;ь;т;а;з;а;к;V;РАССКАЗАТЬ;V pf - - inf - -
3;про;ПРО;PR;;;о;р;п;;;;PR;ПРО;PR
4;мои;МОЙ;A - acc pl plen - inan;;;и;о;м;;;;A;МОЙ;A - acc pl plen - inan
5;румяные;РУМЯНЫЙ;A - acc pl plen - inan;;;е;ы;н;я;м;у;A;РУМЯНЫЙ;A - acc pl plen - inan
6;щёки;ЩЕКА;S f inan acc pl;;;и;к;ё;щ;;;S;ЩЕКА;S f inan acc pl
7;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;Все;ВЕСЬ;A - nom pl plen - -;;;е;с;в;;;;A;ВЕСЬ;A - nom pl plen - -
2;просто;ПРОСТО;PART;;;о;т;с;о;р;п;PART;ПРОСТО;PART
3;на;НА;PR;;;а;н;;;;;PR;НА;PR
4;них;ОНИ;SPRO pl - - loc;;;х;и;н;;;;SPRO;ОНИ;SPRO pl - - loc
5;обращают;ОБРАЩАТЬ;V ipf praes pl indic - 3p;;;т;ю;а;щ;а;р;V;ОБРАЩАТЬ;V ipf praes pl indic - 3p
6;внимание;ВНИМАНИЕ;S n inan acc sg;;;е;и;н;а;м;и;S;ВНИМАНИЕ;S n inan acc sg
7;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
8;а;А;CONJ;;;а;;;;;;CONJ;А;CONJ
9;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
10;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
11;могу;МОЧЬ;V ipf praes sg indic - 1p;;;у;г;о;м;;;V;МОЧЬ;V ipf praes sg indic - 1p
12;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
13;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
14;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
15;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
16;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
17;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
18;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
19;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
20;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
21;ниче;НИЧЕГО;SPRO - - acc ;distort ;;е;ч;и;н;;;S;НИЧ;S m inan loc sg
22;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
23;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
24;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;ничего;НИЧЕГО;SPRO - - acc ;;;о;г;е;ч;и;н;ADV;НИЧЕГО;ADV -
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;поделать;ПОДЕЛАТЬ;V pf - - inf - -;;;ь;т;а;л;е;д;V;ПОДЕЛАТЬ;V pf - - inf - -
2;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
2;Алёна;АЛЕНА;persn;;;а;н;ё;л;а;;S;АЛЕНА;S f anim nom sg
3;Я;Я;S - - nonflex nonflex;;;я;;;;;;S;Я;S - - nonflex nonflex
4;стою;СТОЯТЬ;V ipf praes sg indic - 1p;;;ю;о;т;с;;;V;СТОЯТЬ;V ipf praes sg indic - 1p
5;однажды;ОДНАЖДЫ;ADV -;;;ы;д;ж;а;н;д;ADV;ОДНАЖДЫ;ADV -
6;в;В;PR;;;в;;;;;;PR;В;PR
7;школе;ШКОЛА;S f inan loc sg;;;е;л;о;к;ш;;S;ШКОЛА;S f inan loc sg
8;такая;ТАКОЙ;A - nom sg plen f -;;;я;а;к;а;т;;A;ТАКОЙ;A - nom sg plen f -
9;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
10;ко;КО;PR;;;о;к;;;;;PR;КО;PR
11;мне;Я;SPRO sg 1p - dat;;;е;н;м;;;;SPRO;Я;SPRO sg 1p - loc
12;подходит;ПОДХОДИТЬ;V ipf praes sg indic - 3p;;;т;и;д;о;х;д;V;ПОДХОДИТЬ;V ipf praes sg indic - 3p
13;мальчик;МАЛЬЧИК;S m anim nom sg;;;к;и;ч;ь;л;а;S;МАЛЬЧИК;S m anim nom sg
14;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
15;такой;ТАКОЙ;A - nom sg plen m -;;;й;о;к;а;т;;A;ТАКОЙ;A - nom sg plen m -
16;типо;ТИПО;ADV -;distort;;о;п;и;т;;;S;ТИПО;S m anim nonflex nonflex
17;:;:;PUNC;;;;;;;;;PUNC;:;PUNC
18;«;«;PUNC;;;;;;;;;PUNC;«;PUNC
19;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
20;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
21;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
22;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
23;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
24;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
25;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
26;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
27;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;Че;ЧТО;ADVPRO -;distort ;;е;ч;;;;;S;ЧЕ;S n inan nonflex nonflex
2;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
3;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
4;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;что;ЧТО;ADVPRO -;;;о;т;ч;;;;S;ЧТО;S n inan acc sg
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;ты;ТЫ;SPRO sg 2p - nom;;;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom
2;так;ТАК;ADV -;;;к;а;т;;;;ADV;ТАК;ADV -
3;много;МНОГО;ADV -;;;о;г;о;н;м;;ADV;МНОГО;ADV -
4;красишься;КРАСИТЬСЯ;V ipf praes sg indic - 2p;;;я;с;ь;ш;и;с;V;КРАСИТЬСЯ;V ipf praes sg indic - 2p
5;?;?;PUNC;;;;;;;;;PUNC;?;PUNC
6;»;»;PUNC;;;;;;;;;PUNC;»;PUNC
7;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
8;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
9;такая;ТАКОЙ;A - nom sg plen f -;;;я;а;к;а;т;;A;ТАКОЙ;A - nom sg plen f -
10;:;:;PUNC;;;;;;;;;PUNC;:;PUNC
11;«;«;PUNC;;;;;;;;;PUNC;«;PUNC
12;Всмысле;СМЫСЛ;ADV -;distort;;е;л;с;ы;м;с;S;ВСМЫСЛ;S m inan loc sg
13;?;?;SENT;;;;;;;;;SENT;?;SENT
;;;;;;;;;;;;;;
1;Ты;ТЫ;SPRO sg 2p - nom;;;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom
2;«;«;PUNC;;;;;;;;;PUNC;«;PUNC
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
5;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
6;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
7;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
8;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
9;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
10;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
11;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
12;че;ЧТО;ADVPRO -;distort ;;е;ч;;;;;S;ЧЕ;S n inan nonflex nonflex
13;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
14;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
15;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;что;ЧТО;ADVPRO -;;;о;т;ч;;;;S;ЧТО;S n inan acc sg
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2;больной;БОЛЬНОЙ;A - nom sg plen m -;;;й;о;н;ь;л;о;S;БОЛЬНОЙ;S m anim nom sg
3;?;?;PUNC;;;;;;;;;PUNC;?;PUNC
4;»;»;SENT;;;;;;;;;SENT;»;SENT
;;;;;;;;;;;;;;
1;Он;ОН;SPRO sg 3p m nom;;;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom
2;такой;ТАКОЙ;A - nom sg plen m -;;;й;о;к;а;т;;A;ТАКОЙ;A - nom sg plen m -
3;:;:;PUNC;;;;;;;;;PUNC;:;PUNC
4;«;«;PUNC;;;;;;;;;PUNC;«;PUNC
5;Ну;НУ;PART;;;у;н;;;;;PART;НУ;PART
6;вот;ВОТ;PART;;;т;о;в;;;;PART;ВОТ;PART
7;у;У;PR;;;у;;;;;;PR;У;PR
8;«;«;PUNC;;;;;;;;;PUNC;«;PUNC
9;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
10;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
11;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
12;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
13;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
14;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
15;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
16;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
17;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
18;тя;ТЫ;SPRO sg 2p - loc;distort ;;я;т;;;;;NONLEX;ТЯ;NONLEX
19;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
20;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
21;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;тебя;ТЫ;SPRO sg 2p - loc;;;я;б;е;т;;;SPRO;ТЫ;SPRO sg 2p - acc
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;«;«;PUNC;;;;;;;;;PUNC;«;PUNC
2;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
3;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
4;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
5;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
6;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
7;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
8;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
9;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
10;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
11;броови;БРОВЬ;S f inan nom pl;distort ;;и;в;о;о;р;б;S;БРООВЬ;S f inan loc sg
12;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
13;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
14;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;брови;БРОВЬ;S f inan nom pl;;;и;в;о;р;б;;S;БРОВЬ;S f inan nom pl
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2;там;ТАМ;ADV -;;;м;а;т;;;;ADV;ТАМ;ADV -
3;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
4;ресницы;РЕСНИЦА;S f inan nom pl;;;ы;ц;и;н;с;е;S;РЕСНИЦА;S f inan nom pl
5;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
6;щёки;ЩЕКА;S f inan nom pl;;;и;к;ё;щ;;;S;ЩЕКА;S f inan nom pl
7;ты;ТЫ;SPRO sg 2p - nom;;;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom
8;вот;ВОТ;PART;;;т;о;в;;;;PART;ВОТ;PART
9;так;ТАК;ADV -;;;к;а;т;;;;ADV;ТАК;ADV -
10;вот;ВОТ;PART;;;т;о;в;;;;PART;ВОТ;PART
11;рисуешь;РИСОВАТЬ;V ipf praes sg indic - 2p;;;ь;ш;е;у;с;и;V;РИСОВАТЬ;V ipf praes sg indic - 2p
12;»;»;PUNC;;;;;;;;;PUNC;»;PUNC
13;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
