#;FORM;LEMMA;GRAM;COMMENT;CHECKED;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM
14;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
15;такая;ТАКОЙ;A - nom sg plen f -;;;я;а;к;а;т;;A;ТАКОЙ;A - nom sg plen f -
16;«;«;PUNC;;;;;;;;;PUNC;«;PUNC
17;Ты;ТЫ;SPRO sg 2p - nom;;;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom
18;«;«;PUNC;;;;;;;;;PUNC;«;PUNC
19;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
20;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
21;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
22;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
23;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
24;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
25;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
26;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
27;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
28;че;ЧТО;ADVPRO -;distort ;;е;ч;;;;;S;ЧЕ;S n inan nonflex nonflex
29;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
30;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
31;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;что;ЧТО;ADVPRO -;;;о;т;ч;;;;S;ЧТО;S n inan acc sg
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2;нормально;НОРМАЛЬНО;ADV -;;;о;н;ь;л;а;м;ADV;НОРМАЛЬНО;ADV -
3;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
4;это;ЭТО;SPRO - - nom sg;;;о;т;э;;;;S;ЭТО;S n - nom sg
5;у;У;PR;;;у;;;;;;PR;У;PR
6;меня;Я;SPRO sg 1p - gen;;;я;н;е;м;;;SPRO;Я;SPRO sg 1p - acc
7;вообще-то;ВООБЩЕ-ТО;ADV -;;;о;т;;е;щ;б;ADV;ВООБЩЕ-ТО;ADV -
8;аллергия;АЛЛЕРГИЯ;S f inan nom sg;;;я;и;г;р;е;л;S;АЛЛЕРГИЯ;S f inan nom sg
9;»;»;PUNC;;;;;;;;;PUNC;»;PUNC
10;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
2;Алёна;АЛЕНА;persn;;;а;н;ё;л;а;;S;АЛЕНА;S f anim nom sg
3;Хотя;ХОТЯ;CONJ;;;я;т;о;х;;;CONJ;ХОТЯ;CONJ
4;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
5;даже;ДАЖЕ;PART;;;е;ж;а;д;;;PART;ДАЖЕ;PART
6;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
7;знаю;ЗНАТЬ;V ipf praes sg indic - 1p;;;ю;а;н;з;;;V;ЗНАТЬ;V ipf praes sg indic - 1p
8;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
9;на;НА;PR;;;а;н;;;;;PR;НА;PR
10;что;ЧТО;S n - acc sg;;;о;т;ч;;;;S;ЧТО;S n - acc sg
11;у;У;PR;;;у;;;;;;PR;У;PR
12;меня;Я;SPRO sg 1p - gen;;;я;н;е;м;;;SPRO;Я;SPRO sg 1p - acc
13;эта;ЭТОТ;APRO - nom sg f -;;;а;т;э;;;;A;ЭТОТ;A - nom sg plen f -
14;аллергия;АЛЛЕРГИЯ;S f inan nom sg;;;я;и;г;р;е;л;S;АЛЛЕРГИЯ;S f inan nom sg
15;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
16;но;НО;CONJ;;;о;н;;;;;CONJ;НО;CONJ
17;у;У;PR;;;у;;;;;;PR;У;PR
18;меня;Я;SPRO sg 1p - gen;;;я;н;е;м;;;SPRO;Я;SPRO sg 1p - acc
19;аллергия;АЛЛЕРГИЯ;S f inan nom sg;;;я;и;г;р;е;л;S;АЛЛЕРГИЯ;S f inan nom sg
20;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
21;ну;НУ;PART;;;у;н;;;;;PART;НУ;PART
22;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
23;думаю;ДУМАТЬ;V ipf praes sg indic - 1p;;;ю;а;м;у;д;;V;ДУМАТЬ;V ipf praes sg indic - 1p
24;так;ТАК;ADV -;;;к;а;т;;;;ADV;ТАК;ADV -
25;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
26;наверное;НАВЕРНОЕ;ADV -;;;е;о;н;р;е;в;ADV;НАВЕРНОЕ;ADV -
27;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;Может;МОЧЬ;V ipf praes sg indic - 3p;;;т;е;ж;о;м;;V;МОЧЬ;V ipf praes sg indic - 3p
2;быть;БЫТЬ;V ipf - - inf - -;;;ь;т;ы;б;;;V;БЫТЬ;V ipf - - inf - -
3;диабет;ДИАБЕТ;S m inan acc sg;;;т;е;б;а;и;д;S;ДИАБЕТ;S m inan acc sg
4;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
5;а;А;CONJ;;;а;;;;;;CONJ;А;CONJ
6;может;МОЧЬ;V ipf praes sg indic - 3p;;;т;е;ж;о;м;;ADV;МОЖЕТ;ADV -
7;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
8;нет;НЕТ;ADV -;;;т;е;н;;;;ADV;НЕТ;ADV -
9;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
2;Интервьюер;ИНТЕРВЬЮЕР;S m anim nom sg;;;р;е;ю;ь;в;р;S;ИНТЕРВЬЮЕР;S m anim nom sg
3;(;(;PUNC;;;;;;;;;PUNC;(;PUNC
4;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
5;););PUNC;;;;;;;;;PUNC;);PUNC
6;К;К;PR;;;к;;;;;;PR;К;PR
7;врачу;ВРАЧ;S m anim dat sg;;;у;ч;а;р;в;;S;ВРАЧ;S m anim dat sg
8;ходила;ХОДИТЬ;V ipf praet sg indic f -;;;а;л;и;д;о;х;V;ХОДИТЬ;V ipf praet sg indic f -
9;?;?;SENT;;;;;;;;;SENT;?;SENT
;;;;;;;;;;;;;;
1;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
2;Алёна;АЛЕНА;persn;;;а;н;ё;л;а;;S;АЛЕНА;S f anim nom sg
3;Да;ДА;PART;;;а;д;;;;;CONJ;ДА;CONJ
4;она;ОНА;SPRO sg 3p f nom;;;а;н;о;;;;SPRO;ОНА;SPRO sg 3p f nom
5;там;ТАМ;ADV -;;;м;а;т;;;;ADV;ТАМ;ADV -
6;ересь;ЕРЕСЬ;S f inan acc sg;;;ь;с;е;р;е;;S;ЕРЕСЬ;S f inan nom sg
7;несла;НЕСТИ;V ipf praet sg indic f -;;;а;л;с;е;н;;V;НЕСТИ;V ipf praet sg indic f -
8;какую-то;КАКОЙ-ТО;A - acc sg plen f inan;;;о;т;;ю;у;к;A;КАКОЙ-ТО;A - acc sg plen f inan
9;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
10;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
11;вот;ВОТ;PART;;;т;о;в;;;;PART;ВОТ;PART
12;живу;ЖИТЬ;V ipf praes sg indic - 1p;;;у;в;и;ж;;;V;ЖИТЬ;V ipf praes sg indic - 1p
13;с;С;PR;;;с;;;;;;PR;С;PR
14;ними;ОНИ;SPRO pl - - ins;;;и;м;и;н;;;SPRO;ОНИ;SPRO pl - - ins
15;…;…;SENT;;;;;;;;;SENT;…;SENT
;;;;;;;;;;;;;;
1;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
2;Интервьюер;ИНТЕРВЬЮЕР;S m anim nom sg;;;р;е;ю;ь;в;р;S;ИНТЕРВЬЮЕР;S m anim nom sg
3;(;(;PUNC;;;;;;;;;PUNC;(;PUNC
4;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
5;););PUNC;;;;;;;;;PUNC;);PUNC
6;Какую;КАКОЙ;A - acc sg plen f -;;;ю;у;к;а;к;;A;КАКОЙ;A - acc sg plen f -
7;?;?;SENT;;;;;;;;;SENT;?;SENT
;;;;;;;;;;;;;;
1;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
2;Алёна;АЛЕНА;persn;;;а;н;ё;л;а;;S;АЛЕНА;S f anim nom sg
3;ну;НУ;PART;;;у;н;;;;;PART;НУ;PART
4;то;ТО;SPRO - nom sg;;;о;т;;;;;S;ТО;S n - nom sg
5;что;ЧТО;CONJ;;;о;т;ч;;;;S;ЧТО;S n inan acc sg
6;там;ТАМ;ADV -;;;м;а;т;;;;ADV;ТАМ;ADV -
7;«;«;PUNC;;;;;;;;;PUNC;«;PUNC
8;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
9;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
10;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
11;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
12;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
13;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
14;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
15;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
16;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
17;че;ЧТО;SPRO - nom sg;distort ;;е;ч;;;;;S;ЧЕ;S n inan nonflex nonflex
18;-;-;;;;;;;;;;PUNC;-;PUNC
19;то;ТО;;слитно;;о;т;;;;;NONLEX;ТО;NONLEX
20;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
21;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
22;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;что-то;ЧТО-ТО;SPRO - nom sg;;;о;т;;о;т;ч;S;ЧТО-ТО;S n inan nom sg
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;еда;ЕДА;S f inan nom sg;;;а;д;е;;;;S;ЕДА;S f inan nom sg
2;неправильная...;НЕПРАВИЛЬНЫЙ...;A - nom sg plen f -;;;;;;я;а;н;A;НЕПРАВИЛЬНЫЙ...;A - nom sg plen f -
3;мне;Я;SPRO sg 1p - dat;;;е;н;м;;;;SPRO;Я;SPRO sg 1p - loc
4;всё;ВСЕ;SPRO - nom sg;;;ё;с;в;;;;S;ВСЕ;S n - nom sg
5;равно;РАВНЫЙ;ADV -;;;о;н;в;а;р;;A;РАВНЫЙ;A - - sg brev n -
6;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;Главное;ГЛАВНЫЙ;A - nom sg plen n -;;;е;о;н;в;а;л;ADV;ГЛАВНОЕ;ADV -
2;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
3;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
4;вкусно;ВКУСНО;ADV -;;;о;н;с;у;к;в;ADV;ВКУСНО;ADV -
5;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
2;Интервьюер;ИНТЕРВЬЮЕР;S m anim nom sg;;;р;е;ю;ь;в;р;S;ИНТЕРВЬЮЕР;S m anim nom sg
3;(;(;PUNC;;;;;;;;;PUNC;(;PUNC
4;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
5;););PUNC;;;;;;;;;PUNC;);PUNC
6;Диету;ДИЕТА;S m inan acc sg;;;у;т;е;и;д;;S;ДИЕТА;S m inan nom sg
7;какую-нибудь;КАКОЙ-НИБУДЬ;A - acc sg plen f inan;;;ь;д;у;б;и;н;A;КАКОЙ-НИБУДЬ;A - acc sg plen f inan
8;назначили;НАЗНАЧИТЬ;V pf praet pl indic - -;;;и;л;и;ч;а;н;V;НАЗНАЧИТЬ;V pf praet pl indic - -
9;?;?;SENT;;;;;;;;;SENT;?;SENT
;;;;;;;;;;;;;;
1;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
2;Алёна;АЛЕНА;persn;;;а;н;ё;л;а;;S;АЛЕНА;S f anim nom sg
3;Какая;КАКОЙ;A - nom sg plen f -;;;я;а;к;а;к;;A;КАКОЙ;A - nom sg plen f -
4;диета;ДИЕТА;S f inan nom sg;;;а;т;е;и;д;;S;ДИЕТА;S f inan nom sg
5;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
6;ты;ТЫ;SPRO sg 2p - nom;;;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom
7;«;«;PUNC;;;;;;;;;PUNC;«;PUNC
8;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
9;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
10;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
11;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
12;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
13;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
14;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
15;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
16;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
17;че;ЧТО;ADVPRO - ;distort ;;е;ч;;;;;S;ЧЕ;S n inan nonflex nonflex
18;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
19;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
20;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;что;ЧТО;S n inan acc sg;;;о;т;ч;;;;S;ЧТО;S n inan acc sg
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2;больная;БОЛЬНОЙ;A - nom sg plen f -;;;я;а;н;ь;л;о;S;БОЛЬНАЯ;S f anim nom sg
3;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
4;*;*;PUNC;;;;;;;;;PUNC;*;PUNC
5;смех;СМЕХ;S m inan nom sg;;;х;е;м;с;;;S;СМЕХ;S m inan nom sg
6;*;*;PUNC;;;;;;;;;PUNC;*;PUNC
7;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
8;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
9;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
10;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
11;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
12;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
13;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
14;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
15;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
16;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;внатуре;НАТУРА;ADV -;distort ;;е;р;у;т;а;н;S;ВНАТУРА;S f inan loc sg
2;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
3;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
4;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;реально;РЕАЛЬНЫЙ;ADV -;;;о;н;ь;л;а;е;ADV;РЕАЛЬНО;ADV -
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
2;тебя;ТЫ;SPRO sg 2p - acc;;;я;б;е;т;;;SPRO;ТЫ;SPRO sg 2p - acc
3;понять;ПОНЯТЬ;V pf - - inf - -;;;ь;т;я;н;о;п;V;ПОНЯТЬ;V pf - - inf - -
4;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
5;пойму;ПОНЯТЬ;V pf fut sg indic - -;;;у;м;й;о;п;;S;ПОЙМА;S f inan acc sg
6;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;Я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
2;…;…;SENT;;;;;;;;;SENT;…;SENT
;;;;;;;;;;;;;;
1;Вот;ВОТ;PART;;;т;о;в;;;;PART;ВОТ;PART
2;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
3;все;ВСЕ;S - - nom pl;;;е;с;в;;;;S;ВСЕ;S - - nom pl
4;говорят;ГОВОРИТЬ;V ipf praes pl indic - 3p;;;т;я;р;о;в;о;V;ГОВОРИТЬ;V ipf praes pl indic - 3p
5;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
6;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
7;у;У;PR;;;у;;;;;;PR;У;PR
8;меня;Я;SPRO sg 1p - acc;;;я;н;е;м;;;SPRO;Я;SPRO sg 1p - acc
9;щечки;ЩЕКА;S f inan acc pl;distort ;;и;к;ч;е;щ;;S;ЩЕЧКА;S f inan acc pl
10;румяные;РУМЯНЫЙ;A - nom pl plen - -;;;е;ы;н;я;м;у;A;РУМЯНЫЙ;A - nom pl plen - -
11;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
12;вот;ВОТ;PART;;;т;о;в;;;;PART;ВОТ;PART
13;некоторым;НЕКОТОРЫЙ;A - dat sg plen n -;;;м;ы;р;о;т;о;A;НЕКОТОРЫЙ;A - ins sg plen n -
14;это;ЭТО;SPRO - nom sg;;;о;т;э;;;;S;ЭТО;S n - nom sg
15;нравится;НРАВИТЬСЯ;V ipf praes sg indic - 3p;;;я;с;т;и;в;а;V;НРАВИТЬСЯ;V ipf praes sg indic - 3p
16;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
17;некоторым;НЕКОТОРЫЙ;A - dat sg plen n -;;;м;ы;р;о;т;о;A;НЕКОТОРЫЙ;A - ins sg plen n -
18;это;ЭТО;SPRO - nom sg;;;о;т;э;;;;S;ЭТО;S n - nom sg
19;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
20;нравится;НРАВИТЬСЯ;V ipf praes sg indic - 3p;;;я;с;т;и;в;а;V;НРАВИТЬСЯ;V ipf praes sg indic - 3p
21;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
2;Алёна;АЛЕНА;persn;;;а;н;ё;л;а;;S;АЛЕНА;S f anim nom sg
3;Я;Я;SPRO sg 1p - nom;;;я;;;;;;S;Я;S - - nonflex nonflex
4;смирились;СМИРИТЬСЯ;V pf praet pl indic - -;;;ь;с;и;л;и;р;V;СМИРИТЬСЯ;V pf praet pl indic - -
5;уже;УЖЕ;ADV -;;;е;ж;у;;;;ADV;УЖЕ;ADV -
6;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
7;но;НО;CONJ;;;о;н;;;;;CONJ;НО;CONJ
8;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
9;заметила;ЗАМЕТИТЬ;V pf praet sg indic f -;;;а;л;и;т;е;м;V;ЗАМЕТИТЬ;V pf praet sg indic f -
10;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
11;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
12;у;У;PR;;;у;;;;;;PR;У;PR
13;меня;Я;SPRO sg 1p - gen;;;я;н;е;м;;;SPRO;Я;SPRO sg 1p - acc
14;постоянно;ПОСТОЯННО;ADV -;;;о;н;н;я;о;т;ADV;ПОСТОЯННО;ADV -
15;красные;КРАСНЫЙ;A - nom pl plen - -;;;е;ы;н;с;а;р;A;КРАСНЫЙ;A - nom pl plen - -
16;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
17;всегда;ВСЕГДА;ADV -;;;а;д;г;е;с;в;ADV;ВСЕГДА;ADV -
18;красные;КРАСНЫЙ;A - nom pl plen - -;;;е;ы;н;с;а;р;A;КРАСНЫЙ;A - nom pl plen - -
19;…;…;SENT;;;;;;;;;SENT;…;SENT
;;;;;;;;;;;;;;
1;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
2;Интервьюер;ИНТЕРВЬЮЕР;S m anim nom sg;;;р;е;ю;ь;в;р;S;ИНТЕРВЬЮЕР;S f inan nom sg
3;(;(;PUNC;;;;;;;;;PUNC;(;PUNC
4;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
5;););PUNC;;;;;;;;;PUNC;);PUNC
6;Ну;НУ;PART;;;у;н;;;;;PART;НУ;PART
7;так;ТАК;ADV -;;;к;а;т;;;;ADV;ТАК;ADV -
8;это;ЭТО;SPRO - nom sg;;;о;т;э;;;;S;ЭТО;S n - nom sg
9;же;ЖЕ;PART;;;е;ж;;;;;PART;ЖЕ;PART
10;мило;МИЛЫЙ;ADV -;;;о;л;и;м;;;A;МИЛЫЙ;A - - sg brev n -
11;?;?;SENT;;;;;;;;;SENT;?;SENT
;;;;;;;;;;;;;;
1;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
2;Алёна;АЛЕНА;S f anim nom sg;;;а;н;ё;л;а;;S;АЛЕНА;S f anim nom sg
3;Вот;ВОТ;PART;;;т;о;в;;;;PART;ВОТ;PART
4;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
5;видишь;ВИДЕТЬ;V ipf praes sg indic - 2p;;;ь;ш;и;д;и;в;V;ВИДЕТЬ;V ipf praes sg indic - 2p
6;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
7;ты;ТЫ;SPRO sg 2p - nom;;;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom
8;говоришь;ГОВОРИТЬ;V ipf praes sg indic - 2p;;;ь;ш;и;р;о;в;V;ГОВОРИТЬ;V ipf praes sg indic - 2p
9;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
10;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
11;это;ЭТО;SPRO - nom sg;;;о;т;э;;;;S;ЭТО;S n - nom sg
12;мило;МИЛЫЙ;ADV -;;;о;л;и;м;;;A;МИЛЫЙ;A - - sg brev n -
13;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;Некоторые;НЕКОТОРЫЙ;A - nom pl plen - -;;;е;ы;р;о;т;о;S;НЕКОТОРЫЕ;S - - nom pl
2;говорят;ГОВОРИТЬ;V ipf praes pl indic - 3p;;;т;я;р;о;в;о;V;ГОВОРИТЬ;V ipf praes pl indic - 3p
