#;FORM;LEMMA;GRAM;COMMENT;CHECKED;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM
9;–;–;PUNC;;;;;;;;;PUNC;–;PUNC
10;это;ЭТО;SPRO - nom sg;;;о;т;э;;;;S;ЭТО;S n - nom sg
11;вообще;ВООБЩЕ;ADV -;;;е;щ;б;о;о;в;ADV;ВООБЩЕ;ADV -
12;фигня;ФИГНЯ;S f inan nom sg;;;я;н;г;и;ф;;S;ФИГНЯ;S f inan nom sg
13;реально;РЕАЛЬНЫЙ;ADV -;;;о;н;ь;л;а;е;ADV;РЕАЛЬНО;ADV -
14;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
15;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
16;так;ТАК;ADV -;;;к;а;т;;;;ADV;ТАК;ADV -
17;хотела;ХОТЕТЬ;V ipf praet sg indic f -;;;а;л;е;т;о;х;V;ХОТЕТЬ;V ipf praet sg indic f -
18;там;ТАМ;ADV -;;;м;а;т;;;;ADV;ТАМ;ADV -
19;летом;ЛЕТО;S n inan ins sg;;;м;о;т;е;л;;S;ЛЕТО;S n inan ins sg
20;покупаться;ПОКУПАТЬСЯ;V pf - - inf - -;;;я;с;ь;т;а;п;V;ПОКУПАТЬСЯ;V pf - - inf - -
21;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
22;«;«;PUNC;;;;;;;;;PUNC;«;PUNC
23;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
24;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
25;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
26;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
27;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
28;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
29;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
30;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
31;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
32;чет;ЧТО-ТО;SPRO inan nom sg;distort ;;т;е;ч;;;;S;ЧЕТ;S m inan acc sg
33;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
34;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
35;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;что-то;ЧТО-ТО;SPRO inan nom sg;;;о;т;;о;т;ч;S;ЧТО-ТО;S n inan nom sg
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;позагорать;ПОЗАГОРАТЬ;V pf - - inf - -;;;ь;т;а;р;о;г;V;ПОЗАГОРАТЬ;V pf - - inf - -
2;…;…;SENT;;;;;;;;;SENT;…;SENT
;;;;;;;;;;;;;;
1;А;А;CONJ;;;а;;;;;;CONJ;А;CONJ
2;вот;ВОТ;PART;;;т;о;в;;;;PART;ВОТ;PART
3;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
4;была;БЫТЬ;V ipf praet sg indic f -;;;а;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic f -
5;летом;ЛЕТО;S n inan ins sg;;;м;о;т;е;л;;S;ЛЕТО;S n inan ins sg
6;только;ТОЛЬКО;PART;;;о;к;ь;л;о;т;PART;ТОЛЬКО;PART
7;в;В;PR;;;в;;;;;;PR;В;PR
8;Крыму;КРЫМ;S m inan loc2 sg;;;у;м;ы;р;к;;S;КРЫМ;S m inan loc2 sg
9;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;Только;ТОЛЬКО;PART;;;о;к;ь;л;о;т;PART;ТОЛЬКО;PART
2;в;В;PR;;;в;;;;;;PR;В;PR
3;Крыму;КРЫМ;S m inan loc2 sg;;;у;м;ы;р;к;;S;КРЫМ;S m inan loc2 sg
4;мне;Я;SPRO sg 1p - dat;;;е;н;м;;;;SPRO;Я;SPRO sg 1p - loc
5;дала;ДАТЬ;V pf praet sg indic f -;;;а;л;а;д;;;V;ДАТЬ;V pf praet sg indic f -
6;эта;ЭТОТ;APRO - nom sg plen f -;;;а;т;э;;;;A;ЭТОТ;A - nom sg plen f -
7;жара;ЖАРА;S f inan nom sg;;;а;р;а;ж;;;S;ЖАРА;S f inan nom sg
8;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;Вот;ВОТ;PART;;;т;о;в;;;;PART;ВОТ;PART
2;так;ТАК;ADV -;;;к;а;т;;;;ADV;ТАК;ADV -
3;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
2;Интервьюер;ИНТЕРВЬЮЕР;S m anim nom sg;;;р;е;ю;ь;в;р;S;ИНТЕРВЬЮЕР;S m anim nom sg
3;(;(;PUNC;;;;;;;;;PUNC;(;PUNC
4;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
5;););PUNC;;;;;;;;;PUNC;);PUNC
6;Что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
7;она;ОНА;SPRO sg 3p f nom;;;а;н;о;;;;SPRO;ОНА;SPRO sg 3p f nom
8;тебе;ТЫ;SPRO sg 2p - dat;;;е;б;е;т;;;SPRO;ТЫ;SPRO sg 2p - loc
9;дала;ДАТЬ;V pf praet sg indic f -;;;а;л;а;д;;;V;ДАТЬ;V pf praet sg indic f -
10;?;?;SENT;;;;;;;;;SENT;?;SENT
;;;;;;;;;;;;;;
1;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
2;Алёна;АЛЕНА;persn;;;а;н;ё;л;а;;S;АЛЕНА;S f anim nom sg
3;голову;ГОЛОВА;S f inan acc sg;;;у;в;о;л;о;г;S;ГОЛОВА;S f inan acc sg
4;запекло;ЗАПЕЧЬ;V pf praet sg indic n -;;;о;л;к;е;п;а;V;ЗАПЕЧЬ;V pf praet sg indic n -
5;*;*;PUNC;;;;;;;;;PUNC;*;PUNC
6;смех;СМЕХ;S m inan nom sg;;;х;е;м;с;;;S;СМЕХ;S m inan nom sg
7;*;*;PUNC;;;;;;;;;PUNC;*;PUNC
8;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;«;«;PUNC;;;;;;;;;PUNC;«;PUNC
2;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
3;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
4;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
5;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
6;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
7;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
8;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
9;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
10;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;Воот;ВОТ;PART;distort ;;т;о;о;в;;;S;ВООТ;S n inan nonflex nonflex
2;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
3;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
4;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;вот;ВОТ;PART;;;т;о;в;;;;PART;ВОТ;PART
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
2;Лада;ЛАДА;persn;;;а;д;а;л;;;S;ЛАДА;S f anim nom sg
3;Так;ТАК;ADV -;;;к;а;т;;;;ADV;ТАК;ADV -
4;вот;ВОТ;PART;;;т;о;в;;;;PART;ВОТ;PART
5;короче;КОРОТКИЙ;ADV comp;;;е;ч;о;р;о;к;ADV;КОРОЧЕ;ADV comp
6;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;Сегодня;СЕГОДНЯ;ADV -;;;я;н;д;о;г;е;ADV;СЕГОДНЯ;ADV -
2;Катя;КАТЯ;persn;;;я;т;а;к;;;S;КАТЯ;S f anim nom sg
3;с;С;PR;;;с;;;;;;PR;С;PR
4;Никитой;НИКИТА;persn;;;й;о;т;и;к;и;S;НИКИТА;S m anim ins sg
5;спустились;СПУСТИТЬСЯ;V pf praet pl indic - -;;;ь;с;и;л;и;т;V;СПУСТИТЬСЯ;V pf praet pl indic - -
6;на;НА;PR;;;а;н;;;;;PR;НА;PR
7;первый;ПЕРВЫЙ;A - acc sg plen m inan;;;й;ы;в;р;е;п;A;ПЕРВЫЙ;A - acc sg plen m inan
8;этаж;ЭТАЖ;S m inan acc sg;;;ж;а;т;э;;;S;ЭТАЖ;S m inan acc sg
9;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
10;ну;НУ;PART;;;у;н;;;;;PART;НУ;PART
11;тут;ТУТ;ADV -;;;т;у;т;;;;ADV;ТУТ;ADV -
12;поминки;ПОМИНКИ;S - inan nom pl;;;и;к;н;и;м;о;S;ПОМИНКИ;S - inan nom pl
13;были;БЫТЬ;V ipf praet pl indic - -;;;и;л;ы;б;;;V;БЫТЬ;V ipf praet pl indic - -
14;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
15;все;ВСЕ;SPRO - - nom pl;;;е;с;в;;;;S;ВСЕ;S - - nom pl
16;стали;СТАТЬ;V ipf praet pl indic - -;;;и;л;а;т;с;;S;СТАЛЬ;S f inan loc sg
17;вспоминать;ВСПОМИНАТЬ;V ipf - - inf - -;;;ь;т;а;н;и;м;V;ВСПОМИНАТЬ;V ipf - - inf - -
18;…;…;SENT;;;;;;;;;SENT;…;SENT
;;;;;;;;;;;;;;
1;И;И;CONJ;;;и;;;;;;CONJ;И;CONJ
2;Катя;КАТЯ;persn;;;я;т;а;к;;;S;КАТЯ;S f anim nom sg
3;говорит;ГОВОРИТЬ;V ipf praes sg indic - 3p;;;т;и;р;о;в;о;V;ГОВОРИТЬ;V ipf praes sg indic - 3p
4;:;:;PUNC;;;;;;;;;PUNC;:;PUNC
5;«;«;PUNC;;;;;;;;;PUNC;«;PUNC
6;давайте;ДАВАТЬ;V ipf - pl imper - 2p;;;е;т;й;а;в;а;V;ДАВАТЬ;V ipf - pl imper - 2p
7;помянем;ПОМЯНУТЬ;V pf - pl imper - 1p;;;м;е;н;я;м;о;V;ПОМЯНУТЬ;V pf - pl imper - 1p
8;тогда;ТОГДА;ADV -;;;а;д;г;о;т;;ADV;ТОГДА;ADV -
9;всех;ВСЕ;SPRO - - acc pl;;;х;е;с;в;;;S;ВСЕ;S - - acc pl
10;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
11;кто;КТО;SPRO - nom sg;;;о;т;к;;;;S;КТО;S m - nom sg
12;ушел;УЙТИ;V pf praet sg indic m -;;;л;е;ш;у;;;V;УЙТИ;V pf praet sg indic m -
13;недавно;НЕДАВНИЙ;ADV -;;;о;н;в;а;д;е;ADV;НЕДАВНО;ADV -
14;…;…;PUNC;;;;;;;;;PUNC;…;PUNC
15;»;»;PUNC;;;;;;;;;PUNC;»;PUNC
16;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
2;Лада;ЛАДА;persn;;;а;д;а;л;;;S;ЛАДА;S f anim nom sg
3;И;И;CONJ;;;и;;;;;;CONJ;И;CONJ
4;вот;ВОТ;PART;;;т;о;в;;;;PART;ВОТ;PART
5;вспомнили;ВСПОМНИТЬ;V pf praet pl indic - -;;;и;л;и;н;м;о;V;ВСПОМНИТЬ;V pf praet pl indic - -
6;про;ПРО;PR;;;о;р;п;;;;PR;ПРО;PR
7;этого;ЭТОТ;APRO acc sg plen m anim;;;о;г;о;т;э;;A;ЭТОТ;A - acc sg plen m anim
8;пацана;ПАЦАН;S m anim acc sg;;;а;н;а;ц;а;п;S;ПАЦАН;S m anim acc sg
9;:;:;PUNC;;;;;;;;;PUNC;:;PUNC
10;первое;ПЕРВЫЙ;A - nom sg plen n -;;;е;о;в;р;е;п;A;ПЕРВЫЙ;A - nom sg plen n -
11;–;–;PUNC;;;;;;;;;PUNC;–;PUNC
12;ему;ОН;SPRO sg 3p m dat;;;у;м;е;;;;SPRO;ОН;SPRO sg 3p m dat
13;восемнадцать;ВОСЕМНАДЦАТЬ;NUM acc - -;;;ь;т;а;ц;д;а;NUM;ВОСЕМНАДЦАТЬ;NUM acc - -
14;лет;ГОД;S m inan gen pl;;;т;е;л;;;;S;ГОД;S m inan gen pl
15;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
16;второе;ВТОРОЙ;A - nom sg plen n -;;;е;о;р;о;т;в;A;ВТОРОЙ;A - nom sg plen n -
17;–;–;PUNC;;;;;;;;;PUNC;–;PUNC
18;он;ОН;SPRO sg 3p m nom;;;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom
19;единственный;ЕДИНСТВЕННЫЙ;A - nom sg plen m -;;;й;ы;н;н;е;в;A;ЕДИНСТВЕННЫЙ;A - nom sg plen m -
20;ребенок;РЕБЕНОК;S m anim nom sg;;;к;о;н;е;б;е;S;РЕБЕНОК;S m inan nom sg
21;в;В;PR;;;в;;;;;;PR;В;PR
22;семье;СЕМЬЯ;S f inan loc sg;;;е;ь;м;е;с;;S;СЕМЬЯ;S f inan loc sg
23;зарабатывает;ЗАРАБАТЫВАТЬ;V ipf praes sg indic - 3p;;;т;е;а;в;ы;т;V;ЗАРАБАТЫВАТЬ;V ipf praes sg indic - 3p
24;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
25;у;У;PR;;;у;;;;;;PR;У;PR
26;него;ОН;SPRO sg 3p m gen;;;о;г;е;н;;;SPRO;ОН;SPRO sg 3p m acc
27;нет;НЕТ;PART;;;т;е;н;;;;PART;НЕТ;PART
28;отца;ОТЕЦ;S m anim gen sg;;;а;ц;т;о;;;S;ОТЕЦ;S m anim gen sg
29;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
30;у;У;PR;;;у;;;;;;PR;У;PR
31;них;ОНИ;SPRO pl - - gen;;;х;и;н;;;;SPRO;ОНИ;SPRO pl - - loc
32;недавно;НЕДАВНИЙ;ADV -;;;о;н;в;а;д;е;ADV;НЕДАВНО;ADV -
33;умерла;УМЕРЕТЬ;V pf praet sg indic f -;;;а;л;р;е;м;у;V;УМЕРЕТЬ;V pf praet sg indic f -
34;его;ОН;APRO nom ;;;о;г;е;;;;SPRO;ОН;SPRO sg 3p m acc
35;младшая;МЛАДШИЙ;A - nom sg plen f -;;;я;а;ш;д;а;л;A;МЛАДШИЙ;A - nom sg plen f -
36;сестра;СЕСТРА;S f anim nom sg;;;а;р;т;с;е;с;S;СЕСТРА;S f anim nom sg
37;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
38;вся;ВЕСЬ;APRO nom sg f -;;;я;с;в;;;;A;ВЕСЬ;A - nom sg plen f -
39;семья;СЕМЬЯ;S f inan nom sg;;;я;ь;м;е;с;;S;СЕМЬЯ;S f inan nom sg
40;свихнулась;СВИХНУТЬСЯ;V pf praet sg indic f -;;;ь;с;а;л;у;н;V;СВИХНУТЬСЯ;V pf praet sg indic f -
41;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
42;она;ОНА;SPRO sg 3p f nom;;;а;н;о;;;;SPRO;ОНА;SPRO sg 3p f nom
43;причем;ПРИЧЕМ;CONJ;;;м;е;ч;и;р;п;CONJ;ПРИЧЕМ;CONJ
44;от;ОТ;PR;;;т;о;;;;;PR;ОТ;PR
45;почечной;ПОЧЕЧНЫЙ;A - gen sg plen f -;;;й;о;н;ч;е;ч;A;ПОЧЕЧНЫЙ;A - gen sg plen f -
46;недостаточности;НЕДОСТАТОЧНОСТЬ;S f inan gen sg;;;и;т;с;о;н;ч;S;НЕДОСТАТОЧНОСТЬ;S f inan gen sg
47;или;ИЛИ;CONJ;;;и;л;и;;;;CONJ;ИЛИ;CONJ
48;ну;НУ;PART;;;у;н;;;;;PART;НУ;PART
49;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
50;то есть;то есть;-;раздельно;;ь;т;с;е; ;о;-;то есть;-
51;как;КАК;ADV -;;;к;а;к;;;;ADV;КАК;ADV -
52;бы;БЫ;PART;;;ы;б;;;;;PART;БЫ;PART
53;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
54;своей;СВОЙ;APRO - ins sg  f -;;;й;е;о;в;с;;A;СВОЙ;A - gen sg plen f -
55;такой;ТАКОЙ;APRO - ins sg  f -;;;й;о;к;а;т;;A;ТАКОЙ;A - gen sg plen f -
56;смертью;СМЕРТЬ;S f inan ins sg;;;ю;ь;т;р;е;м;S;СМЕРТЬ;S f inan ins sg
57;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
58;от;ОТ;PR;;;т;о;;;;;PR;ОТ;PR
59;болезни;БОЛЕЗНЬ;S f inan gen sg;;;и;н;з;е;л;о;S;БОЛЕЗНЬ;S f inan gen sg
60;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
2;Лада;ЛАДА;persn;;;а;д;а;л;;;S;ЛАДА;S f anim nom sg
3;И;И;CONJ;;;и;;;;;;CONJ;И;CONJ
4;…;…;PUNC;;;;;;;;;PUNC;…;PUNC
5;И;И;CONJ;;;и;;;;;;CONJ;И;CONJ
6;он;ОН;SPRO sg 3p m nom;;;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom
7;после;ПОСЛЕ;PR;;;е;л;с;о;п;;PR;ПОСЛЕ;PR
8;того;ТО;SPRO - gen sg;;;о;г;о;т;;;S;ТО;S n - gen sg
9;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
10;как;КАК;CONJ;;;к;а;к;;;;CONJ;КАК;CONJ
11;она;ОНА;SPRO sg 3p f nom;;;а;н;о;;;;SPRO;ОНА;SPRO sg 3p f nom
12;умерла;УМЕРЕТЬ;V pf praet sg indic f -;;;а;л;р;е;м;у;V;УМЕРЕТЬ;V pf praet sg indic f -
13;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
14;эээ;ЭЭЭ;NONLEX;distort ;;э;э;э;;;;NONLEX;ЭЭЭ;NONLEX
15;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
16;пошел;ПОЙТИ;V pf praet sg indic m -;;;л;е;ш;о;п;;V;ПОЙТИ;V pf praet sg indic m -
17;работать;РАБОТАТЬ;V ipf - - inf - -;;;ь;т;а;т;о;б;V;РАБОТАТЬ;V ipf - - inf - -
18;актером;АКТЕР;S m anim ins sg;;;м;о;р;е;т;к;S;АКТЕР;S m anim ins sg
19;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
20;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
21;потом;ПОТОМ;ADV -;;;м;о;т;о;п;;ADV;ПОТОМ;ADV -
22;у;У;PR;;;у;;;;;;PR;У;PR
23;его;ЕГО;APRO gen ;;;о;г;е;;;;A;ЕГО;A - nonflex nonflex plen - -
24;старшего;СТАРШИЙ;A - gen sg plen m -;;;о;г;е;ш;р;а;A;СТАРШИЙ;A - gen sg plen m -
25;брата;БРАТ;S m anim gen sg;;;а;т;а;р;б;;S;БРАТ;S m anim gen sg
26;обнаружили;ОБНАРУЖИТЬ;V pf praet pl indic - -;;;и;л;и;ж;у;р;V;ОБНАРУЖИТЬ;V pf praet pl indic - -
27;тоже;ТОЖЕ;PART;;;е;ж;о;т;;;PART;ТОЖЕ;PART
28;какую-то;КАКОЙ-ТО;A - acc sg f inan;;;о;т;;ю;у;к;A;КАКОЙ-ТО;A - acc sg plen f inan
29;болезнь;БОЛЕЗНЬ;S f inan acc sg;;;ь;н;з;е;л;о;S;БОЛЕЗНЬ;S f inan nom sg
30;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
31;которую;КОТОРЫЙ;A - acc sg plen f -;;;ю;у;р;о;т;о;A;КОТОРЫЙ;A - acc sg plen f -
32;можно;МОЖНО;ADV -;;;о;н;ж;о;м;;ADV;МОЖНО;ADV -
33;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
34;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
35;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
36;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
37;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
38;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
39;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
40;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
41;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
42;выле;ВЫЛЕЧИТЬ;V pf - - inf - -;distort ;;е;л;ы;в;;;S;ВЫЛЬ;S m inan loc sg
43;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
44;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
45;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;вылечить;ВЫЛЕЧИТЬ;V pf - - inf - -;;;ь;т;и;ч;е;л;V;ВЫЛЕЧИТЬ;V pf - - inf - -
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;...;...;PUNC;;;;;;;;;PUNC;...;PUNC
2;что-то;ЧТО-ТО;SPRO - nom sg;;;о;т;;о;т;ч;S;ЧТО-ТО;S n - acc sg
3;она;ОНА;SPRO sg 3p f nom;;;а;н;о;;;;SPRO;ОНА;SPRO sg 3p f nom
4;стоит;СТОИТЬ;V ipf praes sg indic - 3p;;;т;и;о;т;с;;V;СТОЯТЬ;V ipf praes sg indic - 3p
5;там;ТАМ;ADV -;;;м;а;т;;;;ADV;ТАМ;ADV -
6;четыре;четыре;NUM - - -;;;;;;;;;NUM;4;NUM - - -
7;миллиона;МИЛЛИОН;S m inan gen sg;;;а;н;о;и;л;л;S;МИЛЛИОН;S m inan gen sg
8;лечение;ЛЕЧЕНИЕ;S n inan nom sg;;;е;и;н;е;ч;е;S;ЛЕЧЕНИЕ;S n inan acc sg
9;или;ИЛИ;CONJ;;;и;л;и;;;;CONJ;ИЛИ;CONJ
10;что-то;ЧТО-ТО;SPRO - nom sg;;;о;т;;о;т;ч;S;ЧТО-ТО;S n - nom sg
11;такое;ТАКОЙ;A - nom sg plen n -;;;е;о;к;а;т;;A;ТАКОЙ;A - nom sg plen n -
12;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
2;Лада;ЛАДА;persn;;;а;д;а;л;;;S;ЛАДА;S f anim nom sg
3;И;И;CONJ;;;и;;;;;;CONJ;И;CONJ
4;этот;ЭТОТ;APRO nom sg  m -;;;т;о;т;э;;;A;ЭТОТ;A - nom sg plen m -
5;пацан;ПАЦАН;S m anim nom sg;;;н;а;ц;а;п;;S;ПАЦАН;S m anim nom sg
6;сейчас;СЕЙЧАС;ADV -;;;с;а;ч;й;е;с;ADV;СЕЙЧАС;ADV -
7;начал;НАЧАТЬ;V pf praet sg indic m -;;;л;а;ч;а;н;;S;НАЧАЛО;S n inan gen pl
8;сниматься;СНИМАТЬСЯ;V ipf - - inf - -;;;я;с;ь;т;а;м;V;СНИМАТЬСЯ;V ipf - - inf - -
9;в;В;PR;;;в;;;;;;PR;В;PR
